http://xmlns.com/foaf/0.1/isPrimaryTopicOf;22;1783520
http://www.w3.org/2004/02/skos/core#broader;22;1174474
http://purl.org/vocab/bio/0.1/date;22;243295
http://purl.org/vocab/bio/0.1/place;22;1615
http://purl.org/dc/terms/subject;21;12284076
http://www.w3.org/2004/02/skos/core#definition;21;40391
http://xmlns.com/foaf/0.1/msnChatID;21;34835
http://www.w3.org/2003/06/sw-vocab-status/ns#term_status;21;27920
http://www.w3.org/ns/auth/cert#modulus;21;532
http://www.w3.org/ns/auth/cert#exponent;21;487
http://www.daml.org/2001/10/html/airport-ont#icaoCode;21;60
http://www.w3.org/2004/02/skos/core#narrower;20;1184023
http://purl.org/vocab/vann/preferredNamespacePrefix;20;1321
http://purl.org/vocab/vann/preferredNamespaceUri;20;1321
http://usefulinc.com/ns/doap#developer;20;491
http://xmlns.com/wot/0.1/hex_id;20;105
http://www.daml.org/2001/10/html/airport-ont#name;20;72
http://purl.org/dc/terms/format;19;7462770
http://usefulinc.com/ns/doap#revision;19;1260309
http://usefulinc.com/ns/doap#release;19;1258162
http://www.w3.org/2004/02/skos/core#altLabel;19;94164
http://www.w3.org/2001/vcard-rdf/3.0#Country;19;6771
http://usefulinc.com/ns/doap#repository;19;2265
http://xmlns.com/wot/0.1/length;19;97
http://purl.org/dc/terms/license;18;1589833
http://purl.org/dc/terms/isPartOf;18;661737
http://usefulinc.com/ns/doap#browse;18;2260
http://www.w3.org/2000/10/swap/pim/contact#address;18;111
http://www.w3.org/2000/10/swap/pim/contact#city;18;92
http://www.daml.org/2001/10/html/airport-ont#location;18;59
http://creativecommons.org/ns#license;17;66270
http://purl.org/dc/terms/language;17;24908
http://www.w3.org/2001/vcard-rdf/3.0#ADR;17;525
http://purl.org/net/inkel/rdf/schemas/lang/1.1#reads;17;136
http://purl.org/dc/terms/hasPart;16;503002
http://xmlns.com/foaf/0.1/lastName;16;4528
http://xmlns.com/foaf/0.1/depicts;16;3106
http://usefulinc.com/ns/doap#bug-database;16;2275
http://usefulinc.com/ns/doap#mailing-list;16;109
http://www.w3.org/ns/auth/cert#hex;16;74
http://www.w3.org/ns/auth/cert#decimal;16;69
http://purl.org/dc/terms/contributor;15;13927
http://www.w3.org/2004/02/skos/core#scopeNote;15;10137
http://usefulinc.com/ns/doap#location;15;2244
http://www.w3.org/2000/10/swap/pim/contact#postalCode;15;85
http://www.w3.org/ns/auth/rsa#modulus;15;65
http://www.w3.org/ns/auth/rsa#public_exponent;15;64
http://www.w3.org/2001/vcard-rdf/3.0#Street;15;53
http://rdfs.org/sioc/ns#name;14;368
http://www.w3.org/2000/10/swap/pim/contact#street;14;84
http://xmlns.com/wot/0.1/identity;14;56
http://www.w3.org/2001/vcard-rdf/3.0#Pcode;14;39
http://usefulinc.com/ns/doap#screenshots;14;24
http://www.w3.org/2006/vcard/ns#locality;13;138241
http://purl.org/goodrelations/v1#validFrom;13;4974
http://purl.org/goodrelations/v1#validThrough;13;4974
http://www.w3.org/2004/02/skos/core#note;13;3909
http://usefulinc.com/ns/doap#wiki;13;2203
http://xmlns.com/foaf/0.1/topic_interest;13;845
http://purl.org/goodrelations/v1#legalName;13;333
http://purl.org/vocab/relationship/worksWith;13;176
http://xmlns.com/foaf/0.1/skypeID;13;112
http://purl.org/dc/terms/isFormatOf;12;1603700
http://purl.org/dc/elements/1.1/type;12;124047
http://www.w3.org/2004/02/skos/core#notation;12;119482
http://www.w3.org/2006/vcard/ns#street-address;12;100070
http://purl.org/dc/terms/source;12;73798
http://www.w3.org/2004/02/skos/core#related;12;54799
http://purl.org/dc/terms/abstract;12;4358
http://purl.org/goodrelations/v1#hasBusinessFunction;12;2266
http://purl.org/vocab/relationship/friendOf;12;205
http://usefulinc.com/ns/doap#category;12;118
http://xmlns.com/wot/0.1/hasKey;12;98
http://www.w3.org/2000/10/swap/pim/contact#country;12;71
